,peak_f
23,1.2
28,3.5
29,6.4
42,11.6
57,6.4
58,1.9
59,6.4
60,5.3
61,6.8
62,0.6
63,4.3
64,1.7
65,1.1
66,3.9
67,5.5
68,5.0
69,4.1
70,3.7
71,4.6
92,0.9
93,9.6
94,6.0
95,3.0
96,8.9
97,5.5
98,10.4
99,2.8
100,5.0
101,3.3
102,14.3
103,3.2
141,6.5
142,5.0
143,8.6
144,10.2
145,2.6
146,20.0
147,3.6
148,6.3
