,peak_f,peak_psd,sensor,pass_num,mode_num
18,12.7,3.7057444448458426e-08,rear_axle,7,1
0,11.3,9.52182220139648e-07,front_axle,8,1
1,11.1,8.682887210680353e-07,front_axle,8,1
2,11.5,8.515738797895522e-07,front_axle,8,1
3,13.6,4.483381390735543e-06,rear_axle,8,1
4,13.4,4.360440953916176e-06,rear_axle,8,1
5,13.8,4.145215229215082e-06,rear_axle,8,1
6,15.3,1.322821254220839e-06,rear_axle,8,1
7,15.1,1.2254354634397003e-06,rear_axle,8,1
8,15.5,1.2090628959173095e-06,rear_axle,8,1
0,16.6,5.679892590668711e-08,front_axle,9,1
1,16.4,5.472640566202141e-08,front_axle,9,1
2,16.8,5.158544122865626e-08,front_axle,9,1
3,15.4,5.040905693253987e-08,front_axle,9,1
4,15.6,4.828883643635811e-08,front_axle,9,1
5,15.2,4.604257134650383e-08,front_axle,9,1
6,9.9,3.18210319905441e-08,front_axle,9,1
7,9.7,2.7584207390845814e-08,front_axle,9,1
8,10.1,2.7459490769588575e-08,front_axle,9,1
9,5.2,2.6843449740277545e-08,front_axle,9,1
10,16.5,1.0154616656269576e-07,rear_axle,9,1
11,16.7,9.74294646182258e-08,rear_axle,9,1
12,16.3,9.72846829718354e-08,rear_axle,9,1
13,5.2,1.8806806009908435e-08,rear_axle,9,1
14,5.4,1.724003860772559e-08,rear_axle,9,1
15,9.9,1.6431085274036596e-08,rear_axle,9,1
16,5.0,1.5944841251235988e-08,rear_axle,9,1
17,9.7,1.4662268549559595e-08,rear_axle,9,1
18,10.1,1.3996841827986436e-08,rear_axle,9,1
0,9.8,4.029731180798207e-08,front_axle,10,1
1,16.9,3.9496027020600394e-08,front_axle,10,1
2,15.5,3.805926744252974e-08,front_axle,10,1
3,17.1,3.673262406508872e-08,front_axle,10,1
4,10.0,3.6236457539160616e-08,front_axle,10,1
5,15.3,3.605541869633238e-08,front_axle,10,1
6,16.7,3.525461566682525e-08,front_axle,10,1
7,15.7,3.4267702899717136e-08,front_axle,10,1
8,9.6,3.3798541085074315e-08,front_axle,10,1
9,5.2,2.9235580310619852e-08,front_axle,10,1
10,11.2,7.685655201806657e-07,rear_axle,10,1
11,11.4,7.378325647546066e-07,rear_axle,10,1
12,11.0,6.705345529067091e-07,rear_axle,10,1
